offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
25,25,25,25,25,0.169,0.166,0.171,0.221,0.218,0.221,0.265,0.255,0.287,0.372,0.299,0.929,10.129,1.726,10.279,11.627,11.591,11.704,12.25,12.163,12.384,640,8,0.41,0.31,0.53,19.54,100.0,140.0,25,25,25,25,0.168,0.167,0.17,0.222,0.216,0.229,0.259,0.253,0.268,0.298,0.274,0.35,10.183,1.916,10.243,11.712,11.65,11.776,12.329,12.213,12.425,640,4,0.45,0.36,0.5,19.57,99.0,127.0,-0.001,-0.004,0.004,-0.59,0,-0.006,-0.034,0.008,-2.26,0,-0.074,-1.025,0.04,-19.89,0,0.054,-8.187,8.124,0.53,0,0.079,-0.094,0.245,0.64,0,0.044,-0.238,0.279,0.35,0
50,25,50,50,50,0.159,0.158,0.159,0.193,0.189,0.193,0.24,0.233,0.248,0.284,0.26,0.316,10.181,1.599,10.271,11.444,11.411,11.455,12.095,12.061,12.114,1214,4,0.78,0.58,0.81,19.81,91.0,118.0,25,50,50,50,0.16,0.159,0.159,0.196,0.192,0.197,0.24,0.233,0.245,0.284,0.269,0.3,10.269,1.623,10.318,11.536,11.475,11.594,12.155,12.123,12.186,1214,1,0.77,0.61,0.84,19.91,90.0,121.0,0.001,0.001,0.003,0.63,0,0.0,-0.01,0.009,0.0,0,0.0,-0.046,0.032,0.0,0,0.088,-0.116,8.329,0.86,0,0.06,0.006,0.101,0.5,0,0.047,-0.019,0.154,0.38,0
100,24,100,100,100,0.154,0.153,0.154,0.176,0.174,0.176,0.223,0.217,0.233,0.562,0.345,0.748,1.396,1.382,1.401,11.375,11.337,11.428,12.236,12.209,12.25,2364,2,1.47,1.02,1.9,20.47,82.0,103.0,25,100,100,100,0.154,0.153,0.155,0.175,0.173,0.175,0.223,0.214,0.228,0.678,0.6,0.75,1.481,1.467,1.487,11.47,11.405,11.493,12.284,12.247,12.301,2364,5,1.56,1.2,1.72,20.45,82.0,104.0,0.0,-0.0015,0.0015,0.0,0,0.0005,-0.013,0.008,0.22,0,0.1155,-0.0915,0.3365,20.53,0,0.085,0.0655,0.095,6.09,1,0.0475,0.0055,0.0835,0.39,0,0.072,-0.0735,0.17,0.58,0
150,25,150,150,150,0.154,0.153,0.153,0.172,0.171,0.172,0.207,0.203,0.214,0.259,0.243,0.276,1.383,1.377,1.389,11.299,11.266,11.348,12.222,12.195,12.243,3514,3,2.36,2.19,2.45,20.77,76.0,86.0,25,150,150,150,0.154,0.153,0.154,0.172,0.171,0.171,0.208,0.206,0.212,0.275,0.253,0.287,1.444,1.434,1.453,11.313,11.276,11.366,12.221,12.199,12.24,3514,4,2.45,2.17,2.48,20.79,73.0,89.0,0.0,-0.001,0.0,0.0,0,0.001,-0.008,0.006,0.48,0,0.016,-0.017,0.1221,6.18,0,0.061,0.049,0.074,4.41,0,-0.001,-0.028,0.037,-0.01,0,0.067,-0.034,0.139,0.54,0
