offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
5000,25,5000,5000,5000,0.068,0.067,0.068,0.074,0.074,0.075,0.088,0.087,0.088,0.122,0.119,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,4.44,4.22,4.59,9.41,47.0,84.0,25,5000,5000,5000,0.068,0.068,0.068,0.076,0.075,0.076,0.089,0.088,0.089,0.123,0.119,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,4.73,4.53,4.83,9.66,47.0,84.0,0.0,-0.001,0.001,0.0,0,0.001,-0.001,0.002,1.14,0,0.001,-0.002,0.004,0.82,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10000,25,9999,9999,9999,0.067,0.067,0.068,0.074,0.073,0.074,0.087,0.086,0.087,0.122,0.118,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,9.03,8.56,9.33,9.42,47.0,85.0,25,9999,9999,9999,0.068,0.067,0.068,0.075,0.074,0.075,0.087,0.086,0.086,0.12,0.118,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,9.05,8.44,9.5,9.71,47.0,49.0,0.001,0.0,0.001,1.49,0,0.0,0.0,0.002,0.0,0,-0.002,-0.008,0.006,-1.64,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15000,25,14999,14999,14999,0.067,0.066,0.066,0.074,0.072,0.074,0.085,0.084,0.084,0.122,0.117,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,13.28,13.03,13.55,9.48,45.0,86.0,25,14999,14999,14999,0.068,0.067,0.068,0.074,0.073,0.073,0.087,0.086,0.088,0.127,0.119,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,13.44,13.09,13.62,9.68,46.0,84.0,0.001,0.0,0.002,1.49,0,0.002,0.0,0.003,2.35,0,0.005,-0.003,0.023,4.1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25000,25,24998,24998,24999,0.066,0.066,0.067,0.073,0.072,0.073,0.085,0.084,0.085,0.134,0.131,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,22.16,21.83,22.27,9.45,46.0,92.0,25,24998,24998,24999,0.067,0.066,0.066,0.073,0.073,0.073,0.086,0.085,0.086,0.135,0.133,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,22.48,22.27,22.67,9.69,46.0,48.0,0.001,0.0,0.001,1.52,0,0.001,-0.001,0.002,1.18,0,0.001,-0.003,0.002,0.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35000,25,34998,34998,34998,0.066,0.065,0.065,0.092,0.091,0.092,0.108,0.107,0.108,0.145,0.14,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,29.77,29.56,29.84,9.49,50.0,54.0,25,34998,34998,34998,0.066,0.066,0.067,0.093,0.092,0.093,0.108,0.108,0.108,0.147,0.139,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,30.33,30.09,30.5,9.75,51.0,59.0,0.0,0.0,0.001,0.0,0,0.0,0.0,0.001,0.0,0,0.002,-0.011,0.028,1.38,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
