offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
5000,25,5000,4999,5000,0.312,0.29,0.317,0.802,0.784,0.809,1.225,1.196,1.228,1.587,1.565,1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,5.5,5.23,5.66,9.67,36.0,57.0,25,4999,4999,4999,0.289,0.281,0.297,0.795,0.776,0.804,1.202,1.185,1.209,1.592,1.555,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,6.91,6.52,7.02,18.75,48.0,64.0,-0.023,-0.034,-0.001,-7.37,1,-0.023,-0.1791,0.014,-1.88,0,0.005,-0.304,0.039,0.32,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10000,25,9999,9999,9999,0.263,0.255,0.267,0.75,0.738,0.759,1.17,1.152,1.182,1.566,1.536,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,10.44,9.83,10.58,9.75,53.0,73.0,25,9998,9998,9999,0.239,0.235,0.239,0.739,0.725,0.765,1.186,1.168,1.443,1.652,1.571,2.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,13.33,12.91,13.5,18.69,68.0,81.0,-0.024,-0.03,-0.013,-9.13,1,0.016,-0.009,0.285,1.37,0,0.086,0.003,0.615,5.49,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15000,25,14999,14999,14999,0.155,0.153,0.155,0.229,0.21,0.382,0.853,0.721,1.099,1.328,1.204,1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,15.44,15.2,16.0,9.7,48.0,95.0,25,14998,14997,14998,0.173,0.17,0.174,0.221,0.216,0.221,0.445,0.313,0.565,1.087,0.979,1.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,16,20.16,19.73,20.36,18.7,62.0,82.0,0.018,0.016,0.02,11.61,1,-0.408,-0.686,-0.222,-47.83,1,-0.241,-0.63,-0.082,-18.15,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25000,25,24998,24997,24998,0.168,0.162,0.17,0.208,0.205,0.209,0.284,0.281,0.287,0.43,0.414,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,28.3,27.56,28.53,9.66,75.0,85.0,25,24997,24997,24997,0.199,0.19,0.199,0.26,0.244,0.269,0.352,0.338,0.359,0.526,0.51,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,35.92,35.67,36.0,18.71,92.0,119.0,0.031,0.026,0.036,18.45,1,0.068,0.055,0.076,23.94,1,0.096,0.068,0.123,22.33,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35000,24,34998,34997,34998,0.177,0.171,0.188,0.256,0.235,0.264,0.35,0.33,0.37,0.558,0.526,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,38.37,37.8,38.6,9.8,97.0,153.0,25,34996,34996,34997,0.229,0.224,0.229,0.327,0.318,0.331,0.469,0.454,0.507,0.932,0.769,1.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,9,48.09,47.64,48.33,18.68,153.0,190.0,0.052,0.041,0.0585,29.38,1,0.119,0.0905,0.169,34.0,1,0.3735,0.2445,0.5245,66.88,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
