offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
50,25,50,50,50,0.451,0.436,0.457,0.527,0.518,0.564,0.62,0.592,0.661,0.757,0.713,0.789,1.643,1.619,1.671,1.851,1.783,1.882,2.129,1.965,2.187,1214,6,1.02,0.86,1.22,19.11,115.0,141.0,25,50,50,50,0.453,0.441,0.478,0.55,0.525,0.578,0.681,0.605,0.72,0.822,0.693,0.885,1.728,1.68,1.748,1.955,1.858,2.03,2.314,2.104,2.417,1214,6,1.42,1.19,1.48,19.09,111.0,141.0,0.002,-0.012,0.031,0.44,0,0.061,-0.041,0.117,9.84,0,0.065,-0.103,0.152,8.59,0,0.085,0.024,0.119,5.17,1,0.185,0.026,0.4,8.69,1,0.488,0.085,0.843,20.63,1
150,24,150,150,150,0.384,0.372,0.426,0.467,0.457,0.522,0.57,0.546,0.61,0.736,0.664,0.873,1.574,1.546,1.617,1.784,1.723,1.873,2.066,1.914,2.175,3514,7,3.01,2.9,3.14,19.96,74.0,163.0,24,150,150,150,0.384,0.37,0.396,0.475,0.46,0.499,0.626,0.569,0.675,0.857,0.757,0.909,1.614,1.596,1.67,1.841,1.784,1.926,2.194,2.038,2.329,3514,6,3.14,3.01,3.2,20.0,88.0,151.0,0.0005,-0.0555,0.0215,0.13,0,0.056,-0.018,0.115,9.82,0,0.1205,-0.077,0.2215,16.36,0,0.0405,-0.015,0.106,2.57,0,0.1285,-0.089,0.3725,6.22,0,0.096,-0.226,0.4085,3.93,0
400,25,400,400,400,0.362,0.35,0.371,0.442,0.426,0.477,0.574,0.541,0.627,0.851,0.743,0.892,1.575,1.521,1.603,1.783,1.706,1.876,2.046,1.936,2.171,9264,6,7.59,6.28,10.03,22.22,122.0,144.0,25,400,400,400,0.358,0.351,0.363,0.436,0.423,0.472,0.547,0.534,0.611,0.87,0.728,0.965,1.626,1.585,1.697,1.853,1.77,1.934,2.23,1.982,2.366,9264,6,7.05,6.59,8.94,22.27,114.0,122.0,-0.004,-0.014,0.01,-1.1,0,-0.027,-0.09,0.051,-4.7,0,0.019,-0.095,0.1511,2.23,0,0.051,0.004,0.137,3.24,0,0.184,-0.057,0.368,8.99,0,0.198,-0.108,0.477,8.13,0
800,22,800,800,800,0.337,0.33,0.339,0.431,0.41,0.442,0.593,0.559,0.848,5.978,1.648,8.049,1.484,1.458,1.494,1.7,1.643,1.764,1.975,1.873,2.115,18464,22,12.08,10.29,16.38,25.79,70.0,923.0,23,800,800,800,0.337,0.327,0.337,0.454,0.414,0.463,0.679,0.618,0.824,7.147,3.318,8.118,1.52,1.509,1.537,1.748,1.693,1.817,2.083,1.949,2.179,18464,23,13.08,12.53,13.39,25.55,165.0,603.0,0.0005,-0.003,0.008,0.15,0,0.0865,-0.1855,0.2725,14.6,0,1.1695,-2.954,5.681,19.57,0,0.0365,0.015,0.069,2.46,0,0.108,-0.104,0.289,5.47,0,0.5495,-0.467,2.102,12.82,0
