offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
5000,25,4999,4999,4999,0.297,0.276,0.304,0.805,0.789,0.821,1.223,1.187,1.314,1.604,1.586,2.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,6.81,6.59,7.2,18.69,47.0,128.0,25,4999,4999,4999,0.289,0.281,0.297,0.795,0.776,0.804,1.202,1.185,1.209,1.592,1.555,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,6.91,6.52,7.02,18.75,48.0,64.0,-0.008,-0.021,0.013,-2.69,0,-0.021,-0.299,0.017,-1.72,0,-0.012,-0.585,0.023,-0.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10000,25,9999,9998,9999,0.24,0.23,0.245,0.723,0.708,0.774,1.172,1.158,1.422,1.595,1.563,2.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,12.91,12.62,13.5,18.73,73.0,83.0,25,9998,9998,9999,0.239,0.235,0.239,0.739,0.725,0.765,1.186,1.168,1.443,1.652,1.571,2.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,13.33,12.91,13.5,18.69,68.0,81.0,-0.001,-0.006,0.009,-0.42,0,0.014,-0.24,0.28,1.19,0,0.057,-0.478,0.578,3.57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15000,25,14998,14997,14998,0.174,0.169,0.175,0.224,0.218,0.224,0.451,0.351,0.612,1.136,0.991,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,18,19.97,19.33,20.38,18.73,60.0,91.0,25,14998,14997,14998,0.173,0.17,0.174,0.221,0.216,0.221,0.445,0.313,0.565,1.087,0.979,1.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,16,20.16,19.73,20.36,18.7,62.0,82.0,-0.001,-0.003,0.002,-0.57,0,-0.006,-0.208,0.183,-1.33,0,-0.049,-0.233,0.097,-4.31,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25000,25,24997,24997,24997,0.198,0.196,0.201,0.261,0.253,0.268,0.355,0.349,0.358,0.537,0.51,0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,35.25,34.89,35.83,18.75,96.0,135.0,25,24997,24997,24997,0.199,0.19,0.199,0.26,0.244,0.269,0.352,0.338,0.359,0.526,0.51,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,35.92,35.67,36.0,18.71,92.0,119.0,0.001,-0.005,0.004,0.51,0,-0.003,-0.017,0.006,-0.85,0,-0.011,-0.05,0.022,-2.05,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35000,25,34997,34996,34997,0.219,0.214,0.221,0.303,0.293,0.309,0.446,0.433,0.467,0.835,0.797,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,4,46.89,46.38,47.39,18.7,141.0,168.0,25,34996,34996,34997,0.229,0.224,0.229,0.327,0.318,0.331,0.469,0.454,0.507,0.932,0.769,1.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,9,48.09,47.64,48.33,18.68,153.0,190.0,0.01,0.005,0.016,4.57,0,0.023,-0.006,0.07,5.16,0,0.097,-0.046,0.249,11.62,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
