offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
5000,25,5000,4999,5000,0.313,0.299,0.314,0.809,0.788,0.853,1.224,1.199,1.502,1.588,1.555,2.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,5.31,5.08,5.47,9.34,37.0,72.0,25,5000,4999,5000,0.312,0.29,0.317,0.802,0.784,0.809,1.225,1.196,1.228,1.587,1.565,1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,5.5,5.23,5.66,9.67,36.0,57.0,-0.001,-0.016,0.011,-0.32,0,0.001,-0.302,0.143,0.08,0,-0.001,-0.553,0.263,-0.06,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10000,25,9999,9999,10000,0.272,0.262,0.287,0.767,0.751,0.797,1.194,1.175,1.467,1.575,1.548,2.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,10.12,9.61,10.27,9.42,55.0,71.0,25,9999,9999,9999,0.263,0.255,0.267,0.75,0.738,0.759,1.17,1.152,1.182,1.566,1.536,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,10.44,9.83,10.58,9.75,53.0,73.0,-0.009,-0.028,0.003,-3.31,0,-0.024,-0.302,-0.002,-2.01,0,-0.009,-0.581,0.021,-0.57,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15000,25,14999,14998,14999,0.154,0.153,0.155,0.274,0.222,0.295,0.93,0.831,0.956,1.436,1.344,1.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,15.28,14.8,15.5,9.4,49.0,67.0,25,14999,14999,14999,0.155,0.153,0.155,0.229,0.21,0.382,0.853,0.721,1.099,1.328,1.204,1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,25,15.44,15.2,16.0,9.7,48.0,95.0,0.001,-0.001,0.003,0.65,0,-0.077,-0.186,0.195,-8.28,0,-0.108,-0.293,0.31,-7.52,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25000,25,24998,24997,24998,0.166,0.158,0.167,0.205,0.198,0.206,0.281,0.272,0.285,0.425,0.405,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,27.28,26.92,27.64,9.43,72.0,89.0,25,24998,24997,24998,0.168,0.162,0.17,0.208,0.205,0.209,0.284,0.281,0.287,0.43,0.414,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,28.3,27.56,28.53,9.66,75.0,85.0,0.002,-0.003,0.006,1.2,0,0.003,-0.004,0.011,1.07,0,0.005,-0.032,0.038,1.18,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35000,25,34998,34997,34998,0.179,0.176,0.181,0.255,0.248,0.257,0.354,0.344,0.36,0.568,0.533,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,3,37.92,37.67,38.38,9.45,102.0,129.0,24,34998,34997,34998,0.177,0.171,0.188,0.256,0.235,0.264,0.35,0.33,0.37,0.558,0.526,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,38.37,37.8,38.6,9.8,97.0,153.0,-0.002,-0.008,0.011,-1.12,0,-0.004,-0.0255,0.022,-1.13,0,-0.0095,-0.1165,0.056,-1.67,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
