offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
25,24,25,25,25,0.135,0.134,0.134,0.169,0.166,0.17,0.191,0.187,0.194,0.361,0.219,1.546,9.358,1.062,9.385,10.63,10.527,10.712,11.285,11.224,11.431,640,11,0.03,0.0,0.03,8.78,78.0,91.0,25,25,25,25,0.168,0.167,0.17,0.222,0.216,0.229,0.259,0.253,0.268,0.298,0.274,0.35,10.183,1.916,10.243,11.712,11.65,11.776,12.329,12.213,12.425,640,4,0.45,0.36,0.5,19.57,99.0,127.0,0.033,0.0315,0.038,24.44,1,0.0685,0.062,0.08,35.96,1,-0.0635,-1.3483,0.104,-17.57,0,0.825,-7.36,8.754,8.82,0,1.0445,0.843,1.1985,9.26,1,0.836,0.5505,1.1305,7.07,1
50,24,50,50,50,0.13,0.129,0.13,0.15,0.149,0.153,0.183,0.18,0.184,0.195,0.189,0.197,9.319,9.242,9.36,10.559,10.531,10.59,11.292,11.232,11.343,1214,1,0.12,0.03,0.27,9.06,74.0,83.0,25,50,50,50,0.16,0.159,0.159,0.196,0.192,0.197,0.24,0.233,0.245,0.284,0.269,0.3,10.269,1.623,10.318,11.536,11.475,11.594,12.155,12.123,12.186,1214,1,0.77,0.61,0.84,19.91,90.0,121.0,0.03,0.03,0.032,23.08,1,0.0565,0.053,0.0645,30.79,1,0.089,0.071,0.113,45.64,1,0.9495,0.794,1.0385,10.19,1,0.863,0.805,0.934,7.64,1,0.7775,0.7285,0.896,6.65,1
100,25,100,100,100,0.117,0.116,0.116,0.131,0.13,0.13,0.165,0.158,0.168,0.648,0.336,0.769,0.254,0.233,0.302,10.32,10.294,10.387,11.143,11.115,11.165,2364,5,0.12,0.05,0.23,9.56,69.0,90.0,25,100,100,100,0.154,0.153,0.155,0.175,0.173,0.175,0.223,0.214,0.228,0.678,0.6,0.75,1.481,1.467,1.487,11.47,11.405,11.493,12.284,12.247,12.301,2364,5,1.56,1.2,1.72,20.45,82.0,104.0,0.037,0.035,0.038,31.62,1,0.058,0.049,0.067,35.15,1,0.03,-0.127,0.278,4.63,0,1.227,1.175,1.243,483.07,1,1.141,1.087,1.17,10.24,1,1.136,0.971,1.238,9.92,1
150,24,150,150,150,0.117,0.115,0.117,0.131,0.13,0.131,0.157,0.154,0.157,0.201,0.191,0.21,0.256,0.239,0.267,10.21,10.191,10.224,11.123,11.107,11.131,3514,4,0.7,0.42,0.8,9.96,64.0,77.0,25,150,150,150,0.154,0.153,0.154,0.172,0.171,0.171,0.208,0.206,0.212,0.275,0.253,0.287,1.444,1.434,1.453,11.313,11.276,11.366,12.221,12.199,12.24,3514,4,2.45,2.17,2.48,20.79,73.0,89.0,0.037,0.036,0.038,31.62,1,0.0515,0.049,0.057,32.91,1,0.0745,0.049,0.183,37.16,1,1.188,1.173,1.209,464.06,1,1.098,1.085,1.1325,9.87,1,1.162,1.1015,1.244,10.23,1
