offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
25,23,25,25,25,0.105,0.104,0.105,0.122,0.121,0.122,0.146,0.136,0.154,0.2,0.165,0.356,9.252,0.887,9.273,10.605,10.579,10.655,11.355,11.308,11.424,640,6,0.08,0.03,0.09,9.33,76.0,89.0,24,25,25,25,0.135,0.134,0.134,0.169,0.166,0.17,0.191,0.187,0.194,0.361,0.219,1.546,9.358,1.062,9.385,10.63,10.527,10.712,11.285,11.224,11.431,640,11,0.03,0.0,0.03,8.78,78.0,91.0,0.03,0.03,0.0315,28.57,1,0.0445,0.034,0.054,30.48,1,0.1615,-0.0771,1.5401,80.75,0,0.106,-7.491,8.2465,1.15,0,-0.0705,-0.153,0.1055,-0.62,0,0.034,-0.701,0.3225,0.29,0
50,25,50,50,50,0.1,0.1,0.101,0.115,0.113,0.115,0.136,0.131,0.138,0.174,0.166,0.322,9.317,0.894,9.338,10.543,10.444,10.549,11.248,11.174,11.35,1214,5,0.08,0.02,0.09,9.43,71.0,87.0,24,50,50,50,0.13,0.129,0.13,0.15,0.149,0.153,0.183,0.18,0.184,0.195,0.189,0.197,9.319,9.242,9.36,10.559,10.531,10.59,11.292,11.232,11.343,1214,1,0.12,0.03,0.27,9.06,74.0,83.0,0.03,0.028,0.03,30.0,1,0.0475,0.0425,0.051,34.93,1,0.021,-0.181,0.034,12.07,0,0.0025,-0.0725,8.34,0.03,0,0.044,-0.089,0.112,0.39,0,-0.0145,-0.1115,0.1755,-0.12,0
100,25,100,100,100,0.089,0.088,0.088,0.099,0.098,0.099,0.124,0.118,0.128,0.524,0.365,0.66,0.264,0.248,0.285,10.336,10.283,10.424,11.144,11.119,11.178,2364,3,0.41,0.03,0.75,9.71,68.0,87.0,25,100,100,100,0.117,0.116,0.116,0.131,0.13,0.13,0.165,0.158,0.168,0.648,0.336,0.769,0.254,0.233,0.302,10.32,10.294,10.387,11.143,11.115,11.165,2364,5,0.12,0.05,0.23,9.56,69.0,90.0,0.028,0.028,0.029,31.46,1,0.041,0.033,0.048,33.06,1,0.124,-0.113,0.352,23.66,0,-0.01,-0.037,0.043,-3.79,0,-0.001,-0.039,0.046,-0.01,0,-0.009,-0.161,0.126,-0.08,0
150,25,150,150,150,0.088,0.087,0.087,0.096,0.096,0.097,0.115,0.111,0.116,0.158,0.15,0.174,0.245,0.217,0.265,10.195,10.13,10.275,11.112,11.099,11.132,3514,3,0.66,0.28,0.83,9.89,63.0,74.0,24,150,150,150,0.117,0.115,0.117,0.131,0.13,0.131,0.157,0.154,0.157,0.201,0.191,0.21,0.256,0.239,0.267,10.21,10.191,10.224,11.123,11.107,11.131,3514,4,0.7,0.42,0.8,9.96,64.0,77.0,0.029,0.028,0.03,32.95,1,0.0415,0.039,0.045,36.09,1,0.0425,0.02,0.0555,26.9,1,0.011,-0.021,0.0345,4.49,0,0.011,-0.022,0.026,0.1,0,-0.036,-0.114,0.04,-0.32,0
