offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
50,24,50,50,50,0.419,0.416,0.431,0.494,0.488,0.508,0.625,0.61,0.635,0.833,0.728,1.098,0.321,0.311,0.33,0.391,0.372,0.453,0.699,0.468,0.835,1214,9,0.16,0.08,0.7,9.0,106.0,129.0,25,50,50,50,0.453,0.441,0.478,0.55,0.525,0.578,0.681,0.605,0.72,0.822,0.693,0.885,1.728,1.68,1.748,1.955,1.858,2.03,2.314,2.104,2.417,1214,6,1.42,1.19,1.48,19.09,111.0,141.0,0.0335,0.016,0.061,7.99,1,0.056,-0.0195,0.1115,8.96,0,-0.0115,-0.3105,0.143,-1.38,0,1.407,1.364,1.435,438.32,1,1.6155,1.4055,1.9215,231.28,1,1.9455,1.5675,2.4255,214.38,1
150,25,150,150,150,0.392,0.385,0.41,0.484,0.467,0.508,0.637,0.606,0.652,0.948,0.755,1.059,0.304,0.29,0.311,0.373,0.363,0.401,0.472,0.447,0.798,3514,12,0.98,0.91,1.0,9.79,45.0,130.0,24,150,150,150,0.384,0.37,0.396,0.475,0.46,0.499,0.626,0.569,0.675,0.857,0.757,0.909,1.614,1.596,1.67,1.841,1.784,1.926,2.194,2.038,2.329,3514,6,3.14,3.01,3.2,20.0,88.0,151.0,-0.008,-0.03,0.011,-2.04,0,-0.011,-0.067,0.0505,-1.73,0,-0.091,-0.249,0.1095,-9.6,0,1.31,1.2895,1.377,430.92,1,1.7225,1.371,1.875,364.94,1,1.7265,1.3975,2.122,212.36,1
400,25,400,400,400,0.341,0.334,0.348,0.426,0.418,0.44,0.567,0.556,0.605,0.837,0.713,0.982,0.277,0.269,0.284,0.354,0.336,0.36,0.462,0.413,0.502,9264,8,1.5,0.69,2.81,12.14,110.0,150.0,25,400,400,400,0.358,0.351,0.363,0.436,0.423,0.472,0.547,0.534,0.611,0.87,0.728,0.965,1.626,1.585,1.697,1.853,1.77,1.934,2.23,1.982,2.366,9264,6,7.05,6.59,8.94,22.27,114.0,122.0,0.017,0.008,0.027,4.99,0,-0.02,-0.065,0.053,-3.53,0,0.033,-0.188,0.182,3.94,0,1.349,1.312,1.43,487.0,1,1.768,1.519,1.944,382.68,1,2.046,1.766,2.265,348.55,1
800,25,800,800,800,0.304,0.299,0.307,0.363,0.357,0.384,0.508,0.484,0.537,6.067,5.436,6.948,0.261,0.254,0.267,0.345,0.315,0.361,0.574,0.393,0.664,18464,25,7.11,0.41,12.39,15.81,32.0,70.0,23,800,800,800,0.337,0.327,0.337,0.454,0.414,0.463,0.679,0.618,0.824,7.147,3.318,8.118,1.52,1.509,1.537,1.748,1.693,1.817,2.083,1.949,2.179,18464,23,13.08,12.53,13.39,25.55,165.0,603.0,0.033,0.029,0.038,10.86,1,0.171,0.105,0.36,33.66,1,1.08,-2.638,2.557,17.8,0,1.259,1.245,1.285,482.38,1,1.509,1.324,1.718,262.89,1,4.024,3.294,4.411,496.18,1
