offered_rate,n_off,rps_off,rps_lo_off,rps_hi_off,p50_off,p50_lo_off,p50_hi_off,p90_off,p90_lo_off,p90_hi_off,p99_off,p99_lo_off,p99_hi_off,p999_off,p999_lo_off,p999_hi_off,cp50_off,cp50_lo_off,cp50_hi_off,cp90_off,cp90_lo_off,cp90_hi_off,cp99_off,cp99_lo_off,cp99_hi_off,est_off,tail_hi_off,cpu_off,cpu_lo_off,cpu_hi_off,mem_mib_off,pacing_off,pacing_max_off,n_on,rps_on,rps_lo_on,rps_hi_on,p50_on,p50_lo_on,p50_hi_on,p90_on,p90_lo_on,p90_hi_on,p99_on,p99_lo_on,p99_hi_on,p999_on,p999_lo_on,p999_hi_on,cp50_on,cp50_lo_on,cp50_hi_on,cp90_on,cp90_lo_on,cp90_hi_on,cp99_on,cp99_lo_on,cp99_hi_on,est_on,tail_hi_on,cpu_on,cpu_lo_on,cpu_hi_on,mem_mib_on,pacing_on,pacing_max_on,d_p50,d_p50_lo,d_p50_hi,d_p50_pct,d_p50_reportable,d_p99,d_p99_lo,d_p99_hi,d_p99_pct,d_p99_reportable,d_p999,d_p999_lo,d_p999_hi,d_p999_pct,d_p999_reportable,d_cp50,d_cp50_lo,d_cp50_hi,d_cp50_pct,d_cp50_reportable,d_cp99,d_cp99_lo,d_cp99_hi,d_cp99_pct,d_cp99_reportable,d_cp999,d_cp999_lo,d_cp999_hi,d_cp999_pct,d_cp999_reportable
5000,25,4999,4999,4999,0.076,0.075,0.076,0.092,0.091,0.091,0.106,0.105,0.106,0.145,0.142,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,6.56,6.08,6.72,19.11,53.0,55.0,25,4999,4999,4999,0.076,0.075,0.075,0.093,0.092,0.092,0.106,0.105,0.105,0.147,0.143,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,6.64,6.47,6.8,19.25,54.0,55.0,0.0,0.0,0.001,0.0,0,0.0,0.0,0.001,0.0,0,0.002,-0.001,0.005,1.38,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10000,25,9999,9999,9999,0.074,0.074,0.075,0.09,0.089,0.09,0.103,0.102,0.102,0.143,0.141,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,12.69,12.42,13.09,19.18,53.0,57.0,25,9999,9999,9999,0.074,0.066,0.073,0.09,0.081,0.089,0.104,0.103,0.104,0.143,0.141,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,12.8,12.19,13.2,19.19,53.0,55.0,0.0,-0.001,0.001,0.0,0,0.001,0.0,0.001,0.97,0,0.0,-0.002,0.003,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15000,25,14998,14998,14998,0.073,0.071,0.073,0.087,0.086,0.087,0.101,0.1,0.1,0.143,0.141,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,18.86,18.58,19.23,19.26,51.0,53.0,25,14998,14998,14998,0.073,0.066,0.073,0.087,0.082,0.087,0.102,0.101,0.102,0.143,0.142,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,18.94,18.59,19.22,19.25,51.0,60.0,0.0,-0.001,0.002,0.0,0,0.001,0.0,0.001,0.99,0,0.0,-0.002,0.006,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25000,25,24996,24996,24996,0.071,0.071,0.072,0.087,0.085,0.087,0.123,0.122,0.122,0.158,0.153,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,31.14,30.84,31.2,19.22,55.0,59.0,25,24996,24996,24996,0.072,0.071,0.072,0.087,0.086,0.087,0.125,0.104,0.125,0.159,0.157,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,31.28,31.03,31.5,19.3,55.0,58.0,0.001,-0.001,0.001,1.41,0,0.002,0.0,0.002,1.63,0,0.001,-0.002,0.006,0.63,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35000,25,34995,34995,34995,0.075,0.074,0.074,0.116,0.116,0.116,0.132,0.13,0.132,0.199,0.194,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,43.44,43.03,43.55,19.42,63.0,65.0,25,34995,34995,34995,0.076,0.075,0.075,0.116,0.116,0.117,0.132,0.131,0.132,0.202,0.194,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,1,43.94,43.72,44.14,19.29,63.0,65.0,0.001,0.0,0.001,1.33,0,0.0,-0.001,0.002,0.0,0,0.003,-0.005,0.01,1.51,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
